classes,Cell ID,Nuclear volume (fL),Cellular volume (fL),Nuclear surface area (micrometers squared),Cellular surface area (micrometers squared),Radial proximity (unitless),Apical proximity (unitless)
Tom20,AICS-11_0_2,26.406,67.08528,50.96513472,122.3851716,0.2191666,0.04128917
Tom20,AICS-11_0_3,19.3428,47.709,43.67155728,110.5819904,0.2410971,-0.02750808
Tom20,AICS-11_0_4,29.33064,73.47996,56.12291184,147.0284484,0.3051865,0.04459358
Tom20,AICS-11_0_5,21.96504,60.71868,45.9132234,120.8535804,0.4476683,-0.1563656
Tom20,AICS-11_0_6,27.7506,74.02212,54.68156556,147.8517456,0.2716946,0.01579869
Tom20,AICS-11_1_2,24.5592,64.33668,48.03486948,129.0366168,0.2462332,0.07143114
Tom20,AICS-11_1_3,35.02224,98.23572,65.58727944,185.0583072,0.3637475,-0.02847425
Tom20,AICS-11_1_5,31.79628,102.03732,69.5509788,211.1905728,0.356658,-0.05824249
Tom20,AICS-11_2_1,24.27624,55.38672,49.06435764,128.4265644,0.1225743,-0.02268963
Tom20,AICS-11_2_2,39.8574,100.41192,69.67035864,187.493628,0.2174088,0.07577862
Tom20,AICS-11_2_3,22.52988,55.22256,45.21640644,103.0315648,0.2509667,0.02553159
Tom20,AICS-11_2_4,22.71888,57.6288,47.14423488,138.8336556,0.3282586,0.03540095
Tom20,AICS-11_2_5,23.45868,57.7368,45.37762044,113.9198768,0.2333275,0.05346837
Tom20,AICS-11_2_6,22.50072,55.35864,45.20838648,114.6641152,0.2619583,-0.02064733
Tom20,AICS-11_3_1,24.97608,60.89364,53.77801056,142.7917212,0.2337297,-0.0593716
Tom20,AICS-11_3_2,20.53188,58.18824,41.55954912,121.208484,0.355918,-0.03286806
Tom20,AICS-11_3_5,23.26752,58.33512,48.04605552,126.600714,0.26768,0.03992062
Tom20,AICS-11_3_6,20.20356,43.54128,43.28387544,102.6619948,0.181153,0.07030118
Tom20,AICS-11_3_7,24.74712,59.29308,53.63004288,144.4649712,0.1663715,-0.004839557
Tom20,AICS-11_4_2,24.19848,68.22252,52.70345232,173.6690328,0.3038652,0.05730271
Tom20,AICS-11_4_4,17.6526,42.2118,41.12065128,102.4880117,0.0871699,0.0257709
Tom20,AICS-11_4_6,19.38492,53.69976,40.87677,117.7439544,0.3389738,0.05132036
Tom20,AICS-11_4_7,25.86708,75.3354,50.825478,172.2953964,0.3029825,0.06242998
Tom20,AICS-11_4_11,16.12548,43.03044,38.48344632,90.38909304,0.3118936,0.01133563
Tom20,AICS-11_5_1,41.93532,107.23104,71.77059876,189.097038,0.2409187,0.06998478
Tom20,AICS-11_5_2,14.16204,52.17372,33.52542324,94.76683884,0.5154352,-0.04822738
Tom20,AICS-11_5_3,21.11508,54.41256,43.769601,124.0205916,0.3678298,-0.06060984
Tom20,AICS-11_5_4,20.62692,49.5666,42.7906188,108.7113144,0.2690469,-0.01365329
Tom20,AICS-11_6_1,24.88212,74.4822,55.44666276,150.6220656,0.4364962,-0.02406064
Tom20,AICS-11_6_2,12.04848,50.58396,29.86005708,106.565527,0.489269,0.02839226
Tom20,AICS-11_6_3,21.19392,57.15684,45.57935328,144.983766,0.2102025,0.125314
Tom20,AICS-11_6_4,31.0878,73.81692,56.2614162,141.601182,0.1760873,0.08548551
Tom20,AICS-11_6_5,32.3244,80.40492,63.27817116,136.1223504,0.2635335,0.01159499
Tom20,AICS-11_6_6,12.285,49.9716,30.82008936,95.30230212,0.5191597,0.03553874
Tom20,AICS-11_6_7,19.6506,49.6476,42.1420962,107.7249874,0.1815884,0.04869731
Tom20,AICS-11_6_9,22.8852,62.29008,45.69162108,142.486986,0.2876979,0.03950955
Tom20,AICS-11_7_1,18.82224,44.98956,41.646756,99.43456032,0.2801476,-0.0158132
Tom20,AICS-11_7_2,22.0914,57.61044,46.79921364,135.8284404,0.2841986,-0.0235326
Tom20,AICS-11_7_3,7.37208,44.83836,22.4088042,87.65864004,0.6639819,-0.01131173
Tom20,AICS-11_7_4,29.7702,78.74496,56.12002512,162.8963292,0.2675335,-0.06505343
Tom20,AICS-11_7_5,23.13144,64.59264,46.82456556,156.9329244,0.3262369,-0.05525311
Tom20,AICS-11_7_6,21.87648,57.72276,47.56143576,138.0449292,0.2993274,0.01195495
Tom20,AICS-11_7_7,23.64876,47.11608,49.5484536,110.6786374,-0.038902,0.007105723
Tom20,AICS-11_7_8,31.3146,85.89888,61.5036648,177.75735,0.2852365,-0.06448413
Tom20,AICS-11_8_1,19.1592,44.13312,41.93469468,101.2868219,0.1897367,0.05136965
Tom20,AICS-11_8_2,20.8548,46.76076,45.63695964,102.1601944,0.1974324,0.06538161
Tom20,AICS-11_8_3,24.99552,55.71936,50.3562114,109.252039,0.2146144,-0.07058218
Tom20,AICS-11_8_4,27.12852,48.91428,54.94131216,111.3787135,-0.1174116,0.02825131
Tom20,AICS-11_8_5,15.82308,31.85676,37.63635696,76.50578568,0.2348439,-0.1037378
Tom20,AICS-11_8_6,21.384,48.80736,45.36886716,103.1008111,0.3467849,0.06429134
