classes,Cell ID,Nuclear volume (fL),Cellular volume (fL),Nuclear surface area (&micro;m&sup2;),Cellular surface area (&micro;m&sup2;),Radial proximity (unitless),Apical proximity (unitless)
Tom20,AICS-11_0_2,26.406,67.08528,50.96514,122.3852,0.8452336,0.4404317
Tom20,AICS-11_0_3,19.3428,47.709,43.67155,110.582,0.8753231,0.6680387
Tom20,AICS-11_0_4,29.33064,73.47996,56.12291,147.0285,0.8449384,0.2967428
Tom20,AICS-11_0_5,21.96504,60.71868,45.91322,120.8536,0.9938547,0.1256602
Tom20,AICS-11_0_6,27.7506,74.02212,54.68156,147.8517,0.8182582,-0.01454715
Tom20,AICS-11_1_2,24.5592,64.33668,48.03486,129.0366,0.7910045,0.6446182
Tom20,AICS-11_1_3,35.02224,98.23572,65.58728,185.0583,0.935237,-0.1841562
Tom20,AICS-11_1_5,31.79628,102.0373,69.55099,211.1906,0.8538709,-0.3760656
Tom20,AICS-11_2_1,24.27624,55.38672,49.06436,128.4266,0.7651076,0.2845564
Tom20,AICS-11_2_2,39.8574,100.4119,69.67036,187.4936,0.9385302,0.3168493
Tom20,AICS-11_2_3,22.52988,55.22256,45.2164,103.0316,0.9704066,0.9259507
Tom20,AICS-11_2_4,22.71888,57.6288,47.14424,138.8336,0.9716056,0.3958867
Tom20,AICS-11_2_5,23.45868,57.7368,45.37762,113.9199,0.9665601,0.4262221
Tom20,AICS-11_2_6,22.50072,55.35864,45.20838,114.6641,0.9280116,0.3597216
Tom20,AICS-11_3_1,24.97608,60.89364,53.778,142.7918,0.8778448,0.01817133
Tom20,AICS-11_3_2,20.53188,58.18824,41.55955,121.2085,0.9254004,0.1361472
Tom20,AICS-11_3_5,23.26752,58.33512,48.04606,126.6007,0.9644136,0.7579374
Tom20,AICS-11_3_6,20.20356,43.54128,43.28388,102.662,0.9808068,0.3164993
Tom20,AICS-11_3_7,24.74712,59.29308,53.63004,144.4649,0.9190267,0.05943984
Tom20,AICS-11_4_2,24.19848,68.22252,52.70345,173.6691,0.9775357,0.2758811
Tom20,AICS-11_4_4,17.6526,42.2118,41.12066,102.488,0.8429929,-0.1399659
Tom20,AICS-11_4_6,19.38492,53.69976,40.87677,117.7439,0.9103647,0.07037578
Tom20,AICS-11_4_7,25.86708,75.3354,50.82548,172.2954,0.8814996,0.1591371
Tom20,AICS-11_4_11,16.12548,43.03044,38.48345,90.38909,0.9061703,0.5843949
Tom20,AICS-11_5_1,41.93532,107.231,71.7706,189.097,0.8460175,0.4974395
Tom20,AICS-11_5_2,14.16204,52.17372,33.52542,94.76684,0.9401134,0.03428103
Tom20,AICS-11_5_3,21.11508,54.41256,43.7696,124.0206,0.9072793,0.3072936
Tom20,AICS-11_5_4,20.62692,49.5666,42.79062,108.7113,0.9036589,0.1982294
Tom20,AICS-11_6_1,24.88212,74.4822,55.44666,150.6221,0.9431539,0.08446407
Tom20,AICS-11_6_2,12.04848,50.58396,29.86006,106.5655,0.8479638,0.249835
Tom20,AICS-11_6_3,21.19392,57.15684,45.57935,144.9838,0.8895289,0.4202118
Tom20,AICS-11_6_4,31.0878,73.81692,56.26142,141.6012,0.8335815,0.6222216
Tom20,AICS-11_6_5,32.3244,80.40492,63.27817,136.1224,0.9569557,0.4751584
Tom20,AICS-11_6_6,12.285,49.9716,30.82009,95.30231,0.9372559,0.1714972
Tom20,AICS-11_6_7,19.6506,49.6476,42.14209,107.725,0.8950081,0.2342063
Tom20,AICS-11_6_9,22.8852,62.29008,45.69163,142.487,0.924826,0.01317369
Tom20,AICS-11_7_1,18.82224,44.98956,41.64676,99.43456,0.8963706,0.5826699
Tom20,AICS-11_7_2,22.0914,57.61044,46.79922,135.8284,0.9589401,-0.1482567
Tom20,AICS-11_7_3,7.37208,44.83836,22.4088,87.65864,0.941598,-0.1798641
Tom20,AICS-11_7_4,29.7702,78.74496,56.12002,162.8963,0.9863792,0.06039148
Tom20,AICS-11_7_5,23.13144,64.59264,46.82456,156.9329,0.9203361,0.297941
Tom20,AICS-11_7_6,21.87648,57.72276,47.56144,138.0449,0.9646202,-0.233896
Tom20,AICS-11_7_7,23.64876,47.11608,49.54845,110.6786,0.9203145,0.2410137
Tom20,AICS-11_7_8,31.3146,85.89888,61.50367,177.7573,0.97464,-0.02614536
Tom20,AICS-11_8_1,19.1592,44.13312,41.9347,101.2868,0.8884977,0.1820268
Tom20,AICS-11_8_2,20.8548,46.76076,45.63696,102.1602,0.94454,0.4881451
Tom20,AICS-11_8_3,24.99552,55.71936,50.35621,109.252,0.9013058,0.124727
Tom20,AICS-11_8_4,27.12852,48.91428,54.94131,111.3787,0.9293249,0.1598997
Tom20,AICS-11_8_5,15.82308,31.85676,37.63635,76.50578,0.9768218,0.03627755
